STATE,Number_Of_Daca_Recipients,Lock_out_State,Number_Of_Colleges,Public,Private,Acceptance_Rate,SAT_Score,Tuition,Resident_Tuition,Student_Population,Number_Of_Undocmented_People,State_Population,Number_Of_Spanish_Speakers,Graduation_Proportion,Students_to_Faculty_Ratio,acceptance_proportion,Average_Temperature
Alabama,3860,0,88,39,49,66,1101,14838,11101,307917,55000,4817678,153715,0.37,16.64,0.66,62.68
Alaska,70,0,10,6,4,77,1155,17174,9664,25692,5000,728300,25099,0.37,10.13,0.77,32.03
Arizona,23070,1,126,34,92,81,1158,17662,9976,585489,275000,6561516,1352104,0.4,19.65,0.81,65.97
Arkansas,4250,0,89,38,51,68,1094,12203,9596,159738,55000,2947036,152982,0.4,14.75,0.68,60.09
California,175110,1,737,192,545,64,1174,20848,14948,2736006,2200000,38066920,10578516,0.54,18.08,0.64,61.17
Colorado,13690,1,113,34,79,73,1131,17681,12524,368631,190000,5197580,618013,0.55,15.48,0.73,46.26
Connecticut,3280,1,87,33,54,65,1177,26687,19828,201485,120000,3592053,404850,0.51,13.7,0.65,48.6
Delaware,1260,1,19,5,14,63,1038,19479,15038,60765,30000,917060,63768,0.44,15.67,0.63,54.48
Florida,23570,1,372,92,280,66,1128,17139,12660,1115837,775000,19361792,4312975,0.55,16.51,0.66,71.8
Georgia,19630,0,161,51,110,65,1080,16519,12405,547016,400000,9907756,781531,0.42,15.66,0.65,62.3
Hawaii,360,1,25,11,14,73,1101,14784,9591,62054,45000,1392704,30522,0.43,15.68,0.73,72.95
Idaho,2620,0,41,9,32,86,1106,16344,11736,124886,35000,1599464,130162,0.57,12.97,0.86,46.32
Illinois,31850,1,271,66,205,68,1115,21133,18800,742177,400000,12868747,1621065,0.48,14.78,0.68,51.37
Indiana,8470,0,120,16,104,72,1123,22997,20383,395399,100000,6542411,289515,0.55,12.95,0.72,51.81
Iowa,2330,0,87,24,63,68,1117,20450,19034,255377,50000,3078116,122459,0.58,12.05,0.68,48.14
Kansas,5150,1,83,34,49,71,1036,14743,12573,213240,75000,2882946,211519,0.44,13.28,0.71,54.68
Kentucky,2560,1,95,25,70,71,1094,18853,14564,268173,35000,4383272,114553,0.46,14.46,0.71,55.62
Louisiana,1600,0,128,35,93,67,1110,16301,11533,248944,70000,4601049,163720,0.42,16.53,0.67,66.74
Maine,50,0,39,18,21,69,1107,24003,18407,71854,0,1328535,11504,0.51,13.19,0.69,43.09
Maryland,7470,1,93,33,60,69,1118,21167,17001,366880,275000,5887776,471743,0.46,14.32,0.69,54.61
